episode,total_score,max_tile,num_moves,valid_moves,invalid_moves,wall_clock_seconds,training_steps
1,356,32,74,74,0,0.52945,74
2,432,64,74,74,0,0.540852,148
3,1196,128,145,145,0,0.563482,293
4,700,64,108,108,0,0.580284,401
5,1072,128,129,129,0,0.600054,530
6,1420,128,181,181,0,0.628023,711
7,656,64,98,98,0,0.643684,809
8,2064,128,234,234,0,0.693348,1043
9,944,128,110,110,0,0.709733,1153
10,1128,128,137,137,0,0.730519,1290
11,824,64,129,129,0,0.751347,1419
12,580,64,90,90,0,0.766378,1509
13,1140,128,138,138,0,0.788033,1647
14,1336,128,169,169,0,0.813999,1816
15,1096,128,140,140,0,0.835733,1956
16,892,64,125,125,0,0.856021,2081
17,1416,128,169,169,0,0.882129,2250
18,1420,128,181,181,0,0.909969,2431
19,992,128,129,129,0,0.929999,2560
20,1444,128,181,181,0,0.958045,2741
21,1564,128,190,190,0,0.987293,2931
22,720,64,106,106,0,1.004394,3037
23,1140,128,152,152,0,1.027843,3189
24,896,64,129,129,0,1.048225,3318
25,1848,128,228,228,0,1.083922,3546
26,1280,128,168,168,0,1.109873,3714
27,904,64,131,131,0,1.130081,3845
28,1444,128,181,181,0,1.159497,4026
29,1428,128,177,177,0,1.186868,4203
30,696,64,107,107,0,1.203147,4310
31,1388,128,177,177,0,1.230196,4487
32,1324,128,164,164,0,1.255705,4651
33,1072,128,130,130,0,1.275793,4781
34,1004,64,144,144,0,1.297669,4925
35,708,64,111,111,0,1.530647,5036
36,1668,128,198,198,0,1.660561,5234
37,1324,128,178,178,0,1.77626,5412
38,400,32,79,79,0,1.827012,5491
39,496,64,97,97,0,1.888668,5588
40,740,64,121,121,0,1.97176,5709
41,668,64,99,99,0,2.034074,5808
42,852,64,123,123,0,2.112959,5931
43,1336,128,149,149,0,2.215129,6080
44,1620,128,190,190,0,2.338739,6270
45,1400,128,189,189,0,2.466604,6459
46,632,64,105,105,0,2.534646,6564
47,1240,128,159,159,0,2.645982,6723
48,292,32,71,71,0,2.693612,6794
49,572,64,86,86,0,2.74859,6880
50,652,64,95,95,0,2.811305,6975
51,700,64,114,114,0,2.887944,7089
52,1080,128,135,135,0,2.97506,7224
53,644,64,110,110,0,3.048289,7334
54,656,64,100,100,0,3.115054,7434
55,512,64,92,92,0,3.174306,7526
56,1052,64,160,160,0,3.279123,7686
57,1252,128,144,144,0,3.374255,7830
58,1336,128,166,166,0,3.48359,7996
59,2592,256,250,250,0,3.652849,8246
60,1972,128,238,238,0,3.807239,8484
61,616,64,94,94,0,3.878868,8578
62,600,64,101,101,0,3.946234,8679
63,936,128,110,110,0,4.038573,8789
64,716,64,106,106,0,4.107967,8895
