episode,total_score,max_tile,num_moves,valid_moves,invalid_moves,wall_clock_seconds,training_steps
1,324,32,55,55,0,0.18503189086914062,55
2,724,64,89,89,0,0.048638343811035156,144
3,1352,128,140,140,0,0.07680344581604004,284
4,2292,256,194,194,0,0.10609078407287598,478
5,2996,256,246,246,0,0.13306212425231934,724
6,1760,128,166,166,0,0.09027886390686035,890
7,940,64,111,111,0,0.061450958251953125,1001
8,776,64,96,96,0,0.050868988037109375,1097
9,1328,128,139,139,0,0.0761563777923584,1236
10,2380,256,198,198,0,0.10777997970581055,1434
11,616,64,84,84,0,0.04609322547912598,1518
12,1256,128,132,132,0,0.07063484191894531,1650
13,756,64,93,93,0,0.050469160079956055,1743
14,1016,128,109,109,0,0.0596470832824707,1852
15,1312,128,135,135,0,0.07276344299316406,1987
16,196,16,45,45,0,0.024111509323120117,2032
17,1000,128,109,109,0,0.061980485916137695,2141
18,872,64,105,105,0,0.05719184875488281,2246
19,1092,128,116,116,0,0.062233686447143555,2362
20,452,32,74,74,0,0.04074406623840332,2436
21,652,64,86,86,0,0.04677271842956543,2522
22,2556,256,223,223,0,0.12033629417419434,2745
23,948,64,112,112,0,0.06102180480957031,2857
24,1384,128,146,146,0,0.07898259162902832,3003
25,920,64,109,109,0,0.05829739570617676,3112
26,360,32,64,64,0,0.03489351272583008,3176
27,628,64,82,82,0,0.04491305351257324,3258
28,1016,128,109,109,0,0.05894875526428223,3367
29,3060,256,251,251,0,0.13643383979797363,3618
30,1448,128,151,151,0,0.08210539817810059,3769
31,1856,128,177,177,0,0.09566807746887207,3946
32,708,64,94,94,0,0.05055117607116699,4040
33,744,64,99,99,0,0.05425572395324707,4139
34,696,64,92,92,0,0.04929947853088379,4231
35,428,32,70,70,0,0.03850150108337402,4301
36,632,64,88,88,0,0.04719281196594238,4389
37,652,64,86,86,0,0.04679298400878906,4475
38,1352,128,141,141,0,0.07569694519042969,4616
39,1460,128,153,153,0,0.08279895782470703,4769
40,636,64,88,88,0,0.047827959060668945,4857
41,2740,256,223,223,0,0.5161285400390625,5080
42,496,64,72,72,0,0.27227115631103516,5152
43,2120,256,180,180,0,0.6772506237030029,5332
44,1560,128,159,159,0,0.5331175327301025,5491
45,1344,128,141,141,0,0.49332380294799805,5632
46,716,64,96,96,0,0.36633801460266113,5728
47,1372,128,144,144,0,0.5865275859832764,5872
48,2364,256,200,200,0,0.8403081893920898,6072
49,1616,128,164,164,0,0.5232775211334229,6236
50,896,64,109,109,0,0.34536242485046387,6345
51,1228,128,123,123,0,0.394150972366333,6468
52,1416,128,148,148,0,0.4713146686553955,6616
53,600,64,83,83,0,0.2628047466278076,6699
54,1664,128,169,169,0,0.5426063537597656,6868
55,2356,256,201,201,0,0.6470017433166504,7069
56,876,64,106,106,0,0.339984655380249,7175
57,1476,128,154,154,0,0.49823999404907227,7329
58,584,64,81,81,0,0.260453462600708,7410
59,980,128,105,105,0,0.38453197479248047,7515
60,544,64,76,76,0,0.2444460391998291,7591
61,1328,128,138,138,0,0.447373628616333,7729
62,768,64,99,99,0,0.31604838371276855,7828
63,1544,128,160,160,0,0.5162906646728516,7988
64,1432,128,148,148,0,0.4739091396331787,8136
65,700,64,93,93,0,0.2994101047515869,8229
66,1280,128,131,131,0,0.43842411041259766,8360
67,888,64,112,112,0,0.44141173362731934,8472
68,288,32,55,55,0,0.17589855194091797,8527
69,716,64,96,96,0,0.31020331382751465,8623
70,672,64,93,93,0,0.30526185035705566,8716
71,832,64,106,106,0,0.34136343002319336,8822
72,1176,128,120,120,0,0.38822460174560547,8942
73,1512,128,156,156,0,0.5016109943389893,9098
74,1372,128,144,144,0,0.46478796005249023,9242
75,1456,128,153,153,0,0.49280452728271484,9395
76,852,64,103,103,0,0.3352353572845459,9498
77,648,64,89,89,0,0.35868000984191895,9587
78,884,64,108,108,0,0.43067359924316406,9695
79,1544,128,159,159,0,0.6460788249969482,9854
80,720,64,97,97,0,0.41595029830932617,9951
81,1296,128,134,134,0,0.5301511287689209,10085
82,920,64,112,112,0,0.4637911319732666,10197
83,1060,128,115,115,0,0.4718952178955078,10312
84,788,64,100,100,0,0.3964970111846924,10412
85,600,64,82,82,0,0.3352944850921631,10494
86,652,64,86,86,0,0.3667018413543701,10580
87,1180,128,121,121,0,0.4806232452392578,10701
88,1368,128,143,143,0,0.5725846290588379,10844
89,672,64,90,90,0,0.3710508346557617,10934
90,984,128,106,106,0,0.44809484481811523,11040
91,692,64,92,92,0,0.373321533203125,11132
92,612,64,84,84,0,0.3379404544830322,11216
93,1332,128,139,139,0,0.6017887592315674,11355
94,700,64,96,96,0,0.3861877918243408,11451
95,576,64,79,79,0,0.33602333068847656,11530
96,640,64,84,84,0,0.3421971797943115,11614
97,976,64,115,115,0,0.45055413246154785,11729
98,888,64,108,108,0,0.4410061836242676,11837
99,872,64,105,105,0,0.4301471710205078,11942
100,744,64,99,99,0,0.43117213249206543,12041
101,940,64,115,115,0,0.4727933406829834,12156
102,876,128,92,92,0,0.36783576011657715,12248
103,1356,128,143,143,0,0.5887503623962402,12391
104,920,64,112,112,0,0.45094919204711914,12503
105,1336,128,137,137,0,0.5544092655181885,12640
106,1168,128,126,126,0,0.5269186496734619,12766
107,1264,128,131,131,0,0.5257699489593506,12897
108,1412,128,150,150,0,0.6385231018066406,13047
109,1340,128,140,140,0,0.5980846881866455,13187
110,420,32,68,68,0,0.268996000289917,13255
111,1332,128,138,138,0,0.5486154556274414,13393
112,500,64,74,74,0,0.2951364517211914,13467
113,664,64,89,89,0,0.3774251937866211,13556
114,1640,128,167,167,0,0.7002072334289551,13723
115,1392,128,143,143,0,0.560666561126709,13866
116,912,128,99,99,0,0.38305115699768066,13965
117,704,64,97,97,0,0.3920409679412842,14062
118,340,32,58,58,0,0.2292180061340332,14120
119,884,64,107,107,0,0.4426846504211426,14227
120,1480,128,155,155,0,0.6198873519897461,14382
121,2332,256,195,195,0,0.7872920036315918,14577
122,1356,128,138,138,0,0.6051905155181885,14715
123,1728,128,163,163,0,0.656879186630249,14878
124,2036,256,171,171,0,0.7308800220489502,15049
125,404,32,67,67,0,0.286806583404541,15116
126,704,64,93,93,0,0.3854670524597168,15209
127,644,64,88,88,0,0.35245490074157715,15297
128,2104,256,177,177,0,0.7166481018066406,15474
129,1280,128,131,131,0,0.5312800407409668,15605
130,832,64,100,100,0,0.4278552532196045,15705
131,812,64,105,105,0,0.42673373222351074,15810
132,984,128,105,105,0,0.4456479549407959,15915
133,280,32,54,54,0,0.2149491310119629,15969
134,468,64,68,68,0,0.2866196632385254,16037
135,692,64,92,92,0,0.38103437423706055,16129
136,1928,128,180,180,0,0.7696106433868408,16309
137,544,64,75,75,0,0.30815935134887695,16384
138,640,64,89,89,0,0.3642246723175049,16473
139,220,32,45,45,0,0.19566774368286133,16518
140,1724,128,162,162,0,0.6679825782775879,16680
141,1340,128,138,138,0,0.5441439151763916,16818
142,1248,128,130,130,0,0.5646278858184814,16948
143,288,32,55,55,0,0.24050426483154297,17003
144,2448,256,209,209,0,0.8857572078704834,17212
145,1456,128,150,150,0,0.6613688468933105,17362
146,1744,128,177,177,0,0.7392375469207764,17539
147,1356,128,141,141,0,0.5679769515991211,17680
148,772,64,100,100,0,0.410341739654541,17780
149,676,64,91,91,0,0.3716738224029541,17871
150,424,32,69,69,0,0.28647947311401367,17940
151,524,64,77,77,0,0.3091592788696289,18017
152,1448,128,151,151,0,0.6315968036651611,18168
153,568,64,78,78,0,0.313739538192749,18246
154,668,64,92,92,0,0.4461333751678467,18338
155,600,64,83,83,0,0.3396332263946533,18421
156,980,128,104,104,0,0.4378190040588379,18525
157,944,64,114,114,0,0.47703075408935547,18639
158,1440,128,150,150,0,0.6233267784118652,18789
159,536,64,77,77,0,0.31353235244750977,18866
160,696,64,92,92,0,0.4126110076904297,18958
161,2520,256,212,212,0,0.8182508945465088,19170
162,748,64,100,100,0,0.357222318649292,19270
163,1016,128,109,109,0,0.40756845474243164,19379
164,1352,128,140,140,0,0.5020678043365479,19519
165,408,32,68,68,0,0.2442328929901123,19587
166,652,64,86,86,0,0.355379581451416,19673
167,2436,256,206,206,0,0.7789201736450195,19879
168,1168,128,126,126,0,0.46971559524536133,20005
169,696,64,92,92,0,0.36989402770996094,20097
170,1088,128,118,118,0,0.49564480781555176,20215
171,416,32,70,70,0,0.30045413970947266,20285
172,612,64,84,84,0,0.35855722427368164,20369
173,1160,128,124,124,0,0.5032081604003906,20493
174,2364,256,200,200,0,0.8638055324554443,20693
175,956,64,113,113,0,0.4660155773162842,20806
176,2508,256,209,209,0,0.9069275856018066,21015
177,1012,128,108,108,0,0.4548680782318115,21123
178,1224,128,129,129,0,0.569788932800293,21252
179,732,64,90,90,0,0.41280150413513184,21342
180,1340,128,141,141,0,0.6003503799438477,21483
181,540,64,75,75,0,0.32344937324523926,21558
182,312,32,55,55,0,0.2925124168395996,21613
183,1332,128,139,139,0,0.5913898944854736,21752
184,864,64,104,104,0,0.450239896774292,21856
185,680,64,94,94,0,0.386885404586792,21950
186,920,64,112,112,0,0.4976637363433838,22062
187,908,128,98,98,0,0.4936552047729492,22160
188,1088,128,118,118,0,0.6243984699249268,22278
189,1060,128,115,115,0,0.5507287979125977,22393
190,584,64,81,81,0,0.3358957767486572,22474
191,712,64,95,95,0,0.40120816230773926,22569
192,704,64,94,94,0,0.42756056785583496,22663
193,1388,128,145,145,0,0.6336715221405029,22808
194,1456,128,152,152,0,0.6400818824768066,22960
195,1164,128,125,125,0,0.55019211769104,23085
196,732,64,97,97,0,0.4100348949432373,23182
197,656,64,87,87,0,0.36287355422973633,23269
198,604,64,82,82,0,0.3618335723876953,23351
199,1400,128,144,144,0,0.6594982147216797,23495
200,840,64,110,110,0,0.4468677043914795,23605
201,824,64,98,98,0,0.3536562919616699,23703
202,864,64,112,112,0,0.405731201171875,23815
203,336,32,62,62,0,0.2244429588317871,23877
204,432,64,64,64,0,0.2349255084991455,23941
205,1348,128,141,141,0,0.556140661239624,24082
206,896,64,109,109,0,0.39803481101989746,24191
207,1604,128,160,160,0,0.5816314220428467,24351
208,1628,128,164,164,0,0.5952885150909424,24515
209,2444,256,208,208,0,0.7640049457550049,24723
210,584,64,81,81,0,0.34293675422668457,24804
211,920,64,112,112,0,0.4774305820465088,24916
212,492,64,68,68,0,0.28473734855651855,24984
213,1632,128,165,165,0,0.7021200656890869,25149
214,1200,128,127,127,0,0.529010534286499,25276
215,1672,128,160,160,0,0.6847946643829346,25436
216,1204,128,128,128,0,0.5714290142059326,25564
217,1376,128,144,144,0,0.5947279930114746,25708
218,1316,128,136,136,0,0.596062183380127,25844
219,1400,128,144,144,0,0.6227109432220459,25988
220,1008,64,121,121,0,0.5172421932220459,26109
221,848,64,106,106,0,0.44290971755981445,26215
222,1180,128,125,125,0,0.521411657333374,26340
